gene	FCH1	FCH2	FCH3	FTH1	FTH2	FTH3	FCNT1	FCNT2	FCNT3	FTNT1	FTNT2	FTNT3	MCH1	MCH2	MCH3	MTH1	MTH2	MTH3	MCNT1	MCNT2	MCNT3	MTNT1	MTNT2	MTNT3
gene:ENSTGUG00000000081	4.29077	5.6462	5.74411	6.98081	4.05901	0.900634	5.27403	6.65143	5.75683	5.50553	5.23506	5.33062	3.95384	6.90698	7.99231	3.55727	7.62993	3.91949	4.52429	5.87659	5.19096	2.44399	7.70417	7.00429
gene:ENSTGUG00000000082	13.6369	15.7912	12.5623	14.9184	16.471	34.3062	14.6871	12.0881	10.3188	16.8943	10.8479	17.0229	30.2835	24.9792	28.9279	33.1147	25.2436	36.6392	27.8765	28.0295	26.1534	33.5503	25.5911	27.0269
gene:ENSTGUG00000000083	61.5954	55.4638	60.1723	56.3585	31.9875	27.0613	48.4131	61.68	61.4292	54.9317	54.776	51.5899	54.0404	60.6146	68.3009	39.3542	68.1943	53.9855	52.0371	52.5528	52.4342	37.4753	52.0016	64.5836
gene:ENSTGUG00000000084	734.872	691.517	635.056	695.542	588.674	858.458	545.972	670.676	628.654	635.615	673.342	704.887	638.016	598.001	676.817	574.678	536.143	601.361	645.426	603.297	677.75	653.064	391.287	625.571
gene:ENSTGUG00000000085	15.3968	19.7283	23.1969	24.3476	18.1193	2.97487	21.2059	23.0346	17.0534	26.9046	28.0955	26.774	18.9485	24.4215	23.6613	23.0968	22.2094	24.2659	20.3173	25.5286	23.8364	14.6958	16.0788	25.2137
gene:ENSTGUG00000000086	11.2767	10.2526	11.1339	11.3782	9.55352	5.11929	5.11705	9.94637	11.8197	9.94938	11.4227	9.85207	10.1529	8.01198	10.7514	7.51434	9.10067	6.22397	8.8454	5.7836	9.85219	8.95333	18.3371	10.6619
gene:ENSTGUG00000000087	0.127009	0.119469	0.360538	0.592656	0.0936144	0	0.278184	0.184729	0.208326	0.143495	0.11445	0.530397	0.168479	0.542456	0.255124	0	0	0.0929394	0.186865	0.463209	0.172405	0	0	0.1931
gene:ENSTGUG00000000088	35.7384	23.8818	22.2979	22.9868	14.0205	1.68054	23.2427	22.998	58.7633	19.5155	14.1261	17.3769	32.0882	18.8896	18.864	11.8171	14.3424	11.6779	20.9685	14.5042	15.5029	21.8188	27.77	22.3491
gene:ENSTGUG00000000089	35.6924	25.423	20.3233	24.8763	13.5579	1.79636	25.143	23.0525	60.8597	21.5503	16.6728	19.3322	35.861	25.8725	15.664	13.8782	23.3725	13.5799	19.719	10.3142	14.9877	22.8316	32.0566	23.4121
gene:ENSTGUG00000000090	6.09192	4.66183	10.0145	6.93129	4.98307	0.213366	6.05852	7.56945	6.60218	9.41546	5.32201	9.98346	5.75306	7.95721	6.35841	3.48907	9.9792	5.56932	4.88283	4.94029	5.84299	3.99753	9.85649	6.8742
gene:ENSTGUG00000000091	13.8295	15.5041	19.239	10.6361	13.0284	5.65337	14.2183	20.3559	12.0583	24.635	26.3231	26.761	16.3604	22.8921	29.8192	28.5477	24.1495	23.1293	14.9532	27.3508	23.4778	18.298	12.7056	30.8764
gene:ENSTGUG00000000092	46.3202	40.9988	48.8217	43.1771	29.2713	23.9292	43.2353	46.2411	47.4231	52.3829	45.5557	39.9025	34.4552	40.9961	43.5499	36.5078	39.1359	36.4464	29.375	33.1555	40.3509	35.5358	21.5809	43.5676
gene:ENSTGUG00000000093	37.1989	58.3947	51.9014	48.4273	34.9328	14.4718	46.0527	61.6311	50.912	54.7287	53.8094	55.7708	47.3248	51.8777	61.1559	39.26	75.4336	42.4673	43.5218	69.4614	44.8647	29.7569	64.579	74.5183
gene:ENSTGUG00000000094	3.47252	2.16775	10.2166	2.4406	2.47407	0.496206	0.643424	0.645158	4.12604	2.81212	1.10148	2.80353	4.02832	2.27855	3.64481	1.52461	1.7363	1.28903	2.27708	1.36279	0.760911	1.50373	2.06619	0.438797
gene:ENSTGUG00000000095	3074.06	1945.39	2399.65	918.366	2558.62	10442.3	2286.42	1527.91	3087.83	1717.67	2265.27	1437.17	2296.69	2448.76	2189.03	1898.11	2318.61	1587.21	1930.16	1521.98	2581.17	2133.94	3667.53	2255.65
gene:ENSTGUG00000000096	8.07133	8.78554	10.464	7.6408	9.4075	9.3405	8.93223	10.6515	6.26394	9.2583	12.6852	8.11312	13.9684	14.9365	16.3117	16.2694	18.2103	16.5733	15.6465	17.2646	16.5653	13.3951	26.5617	18.0061
gene:ENSTGUG00000000097	4.50778	3.74038	5.30539	2.758	2.86404	2.71039	4.24137	3.17663	5.65428	3.12178	4.10737	4.81953	4.41146	4.22052	5.18	2.37482	4.43001	2.22246	5.02476	3.15253	5.31833	3.85569	7.59906	4.56074
gene:ENSTGUG00000000098	16.2354	30.9793	13.8642	33.8318	11.1056	9.8943	13.4183	17.4206	25.4468	13.5066	11.6621	25.4278	25.1515	24.4863	12.6786	15.3421	19.563	13.8957	23.8076	22.273	9.9157	16.7375	49.2994	20.2445
gene:ENSTGUG00000000099	21.802	23.0192	26.1641	21.4475	20.5339	6.67162	23.7094	25.0849	26.7443	26.0802	24.1949	22.5746	19.2991	21.9784	23.8031	19.2802	21.6521	18.2778	19.4064	21.527	16.8251	19.4577	23.5894	25.4016
gene:ENSTGUG00000000100	0.163876	0.0814272	0.097142	0	0.378292	0	0.115678	0.31448	0.109129	0.304139	0.242007	0.131355	0	0.304483	0.358835	0	0	0.135218	0.25691	0	0.45654	0.0872128	0.458884	0.517975
gene:ENSTGUG00000000101	7.85455	5.56342	9.71639	5.41771	5.56616	2.18379	12.8166	5.09043	13.7903	7.6722	6.85328	7.39254	9.61962	11.7773	5.31665	4.04236	14.7508	6.55844	7.20143	8.05448	2.65315	3.63746	25.543	18.2352
gene:ENSTGUG00000000102	40.1099	50.937	49.4575	33.2984	44.3296	80.9453	57.2534	55.7885	46.6714	42.3138	53.4967	43.8896	36.6909	43.5673	46.0051	48.1047	73.7485	33.0302	37.1679	40.6159	52.2259	33.436	60.066	59.4445
gene:ENSTGUG00000000103	2.69914	2.23744	0.905753	0.714453	0.924384	0.880256	1.15639	1.10712	1.24345	0.391405	0.553845	0.77652	3.00996	3.10271	4.4607	0.655079	2.2017	5.20362	3.29453	0.485954	2.97999	1.35618	3.27036	2.78428
